'5407 to 5408',5407000000,5408999999
'5501 to 5507',5501000000,5507999999
'5508 to 5511',5508000000,5511999999
'5512 to 5516',5512000000,5516999999
'ex Chapter 56',5601000000,5601999999
'5602',5602000000,5602999999
'5602',5602000000,5602999999
'5603',5603000000,5603999999
'5604',5604000000,5604999999
'5604',5604000000,5604999999
'5605',5605000000,5605999999
'5606',5606000000,5606999999
'ex Chapter 56',5607000000,5609999999
'Chapter 57',5700000000,5799999999
'ex Chapter 58',5801000000,5804999999
'5805',5805000000,5805999999
'ex Chapter 58',5806000000,5809999999
'5810',5810000000,5810999999
'ex Chapter 58',5811000000,5811999999
'5901',5901000000,5901999999
'5902',5902000000,5902999999
'5902',5902000000,5902999999
'5903',5903000000,5903999999
'5904',5904000000,5904999999
'5905',5905000000,5905999999
'5905',5905000000,5905999999
'5906',5906000000,5906999999
'5906',5906000000,5906999999
'5906',5906000000,5906999999
'5907',5907000000,5907999999
'5908',5908000000,5908999999
'5908',5908000000,5908999999
'5909 to 5911',5909000000,5911999999
'5909 to 5911',5909000000,5911999999
'5909 to 5911',5909000000,5911999999
'Chapter 60',6000000000,6099999999
'Chapter 61',6100000000,6199999999
'Chapter 61',6100000000,6199999999
'ex Chapter 62',6201000000,6201999999
'ex 6202',6202000000,6202999999
'ex Chapter 62',6202000000,6202999999
'ex Chapter 62',6203000000,6203999999
'ex 6204',6204000000,6204999999
'ex Chapter 62',6204000000,6204999999
'ex Chapter 62',6205000000,6205999999
'ex 6206',6206000000,6206999999
'ex Chapter 62',6206000000,6206999999
'ex Chapter 62',6207000000,6208999999
'ex 6209',6209000000,6209999999
'ex Chapter 62',6209000000,6209999999
'ex 6210',6210000000,6210999999
'ex Chapter 62',6210000000,6210999999
'ex 6211',6211000000,6211999999
'ex Chapter 62',6211000000,6211999999
'ex Chapter 62',6212000000,6212999999
'6213 to 6214',6213000000,6214999999
'6213 to 6214',6213000000,6214999999
'ex Chapter 62',6215000000,6215999999
'ex 6216',6216000000,6216999999
'ex Chapter 62',6216000000,6216999999
'6217',6217000000,6217999999
'6217',6217000000,6217999999
'6217',6217000000,6217999999
'6217',6217000000,6217999999
'6301 to 6304',6301000000,6304999999
'6301 to 6304',6301000000,6304999999
'6301 to 6304',6301000000,6304999999
'6305',6305000000,6305999999
'6306',6306000000,6306999999
'6306',6306000000,6306999999
'6307',6307000000,6307999999
'6308',6308000000,6308999999
